2	Cortex of left parahippocampal gyrus
3	left medial thalmus
4	right middle orbito frontal gyrus
5	left middle orbito frontal gyrus
6	right inferior orbito-frontal gyrus
9	right medial temporal lobe
13	Right Anterior Temporal Cortex
14	left primary motor cortex
16	right calcarine cortex
20	right dorsolateral prefrontal cortex
23	left posterior parietal cortex
30	left lateral frontal cortex
31	right lateral frontal cortex
32	left inferior frontal lobe
35	Right Middle Temporal Cortex
36	Intermediate reticular zone medulla oblongata
37	Caudal raphe nuclei medulla oblongata
38	gigantocellular reticular nucleus medulla oblongata
39	coeruleus–subcoeruleus complex medulla oblongata
40	pars compacta of the substantia nigra
41	Temporal mesocortex
42	Basal prosencephalon
43	Sensory association areas of the neocortex
45	Sensory association area of prefrontal neocortex
47	First order sensory association areas of the neocortex
48	first order sensory association areas of premotor areas
49	Primary motor field
50	Primary sensory areas
51	Left inferior lateral ventricle
52	Right inferior lateral ventricle
53	right culmen
54	left rectal gyrus
55	right posterior parietal cortex
56	left middle cingulate cortex
57	Right Cortex of Middle Occipital Gyrus
64	Region15
67	Region88
68	left dorsolateral prefrontal cortex
70	left planum temporale
71	Right caudal middle frontal gyrus
72	left caudal middle frontal gyrus
73	Left rostral medial temporal cortex
74	Right rostral medial temporal cortex
75	Left medial orbito-frontal region
76	Right medial orbito-frontal region
77	right medial thalmus
80	Right middle cingulate cortex
83	left premotor area
84	right premotor area
97	Dorsal motor nucleus medulla oblongata
98	Region28A
100	Region79C
101	left rostral region of prefrontal cortex
102	left ventral section of the cingulate cortex
103	left primary visual cortex
104	right primary visual cortex
106	Right secondary visual cortex
107	right lingual cortex
111	Left olfactory sulcus
112	Right olfactory sulcus
113	left gyrus rectus
114	right gyrus rectus
115	right medial frontal cortex
116	right temporal gyrus
117	left medial frontal cortex
118	ventral medial prefrontal cortex
119	right cingulum tract
121	left lateral temporal cortex
122	Left cuneus
124	left cingulum tract
125	left middle temporal cortex
126	Left Pars Triangularis
127	Right pars triangularis
128	Right Middle Anterior Region of the Temporal Cortex
129	Left Middle Anterior Region of the Temporal Cortex
130	Right Rectal Gyrus
134	Frontal horn of left lateral ventricle
135	Frontal horn of right lateral ventricle
136	Right primary motor cortex
137	Left Superior longitudinal fasciculus
