#total	#non-highlighted	#highlighted	file name
94	90	4	Allert et al., (2011) - Role of dysphagia in evaluating PD for STN-DBS.
441	430	11	Ahn et al., (2011) - The cortical neuroanatomy of neuropsychological deficits in MCI and AD
161	151	10	Altug et al., (2014) - Brain stimulation of subthalamic nucleus surgery on gait and balance in PD
142	120	22	Altug et al., (2011) - The influence of subthalamic nucleus DBS on daily living activities in PD
170	156	14	Arlt et al., (2013) - Association between MRI volumetry of brain regions and test performance in MCI and AD
114	102	12	Bartova et al., (2010) - Correlation between substantia nigra features detected by sonography and PD
126	108	18	Benninger et al., (2008) - Morphological differences in PD with and without rest tremor
145	139	6	Bilello et al., (2015) - Correlating cognitive decline with white matter lesions and atrophy in AD
186	162	24	Bologna et al., (2016) - Neural correlates of blinking abnormalities in patients with progressive supranuclear palsy
184	174	10	Avila et al., (2011) - Effect of temporal lobe structure volume on memory in eldery depressed patients
220	211	9	Birn et al., (2010) - Neural systems supporting lexical search guided by letter and semantic category cues. A self-paced overt response fMRI study of verbal fluency.
157	154	3	Biundo et al., (2015) - Patterns of cortical thickness associated with ICD in PD
355	326	29	Brandi et al., (2014) - The neural correlates of planning and executing actual tool use
137	130	7	Arnaldi et al., (2016) - Functional neuroimaging and clinical features of drug naive patients with de novo PD and RBD
182	167	15	Beyer et al., (2006) - MRI study of PD with MCI and dementia using VBM
195	182	13	Brugnolo et al., (2014) - Metabolic correlates of rey auditory verbal learning test in elderly subjects with memory complaints
177	157	20	Capelle et al., (2011) - DBS for camptocormia in dystonia and PD
170	160	10	Cerasa et al., (2014) - Cortical volume and folding abnormalities in PD with pathological gambling
184	176	8	Del Sole et al., (2008) - Individual cerebral metabolic deficits in AD and aMCI. An FDG PET study.
232	219	13	Chechko et al., (2014) - Neural correlates of unsuccessful memory performance in MCI
393	393	0	Clark et al., (2014) - Lexical factors and cerebral regions influcing verbal fluency performance in MCI
176	168	8	Carriere et al., (2014) - Apathy in PD associated with nucleus accumbens atrophy.
118	112	6	Chung et al., (2016) - Apathy and striatal dopamine deficits in non-demented PD patients.
580	580	0	Devlin et al., (2002) - Is there an anatomical basis for category-specificity. Semantic memory studies in PET and fMRI
169	155	14	Cerasa et al., (2015) - The motor inbibition system in PD and dyskinesia
242	228	14	Coull et al., (1996) - A fronto-parietal network for RVIP
81	66	15	Cicolin et al., (2004) - Effects of deep brain stimulation of STN on sleep archietecture in PD
161	154	7	Dos Santos et al., (2011) - Morphological cerebral correlates of CERAD test performance in AD and MCI
162	151	11	Cotelli et al., (2010) - Action and object naming in physiological aging. An rTMS study
252	230	22	delpolyi et al., (2007) - Spatail cognition and the human navigation network in AD and MCI
228	217	11	Dhanjal et al., (2014) - Frontoparietal cognitive control of verbal memory recall in AD
121	107	14	Erola et al., (2005) - Bilateral subthalamic nucleus stimulation improves health related quality of life in PD
259	250	9	Edison et al., (2007) - Amyloid, hypometabolism and cognition in AD
153	147	6	Forstl et al., (1993) - Neuropathological basis for drawing disability (constructional apraxia) in Alzheimer's disease
201	196	5	Florin et al., (2013) - Modulation of local field potential power of the subthalamic nucleus during isometric force generation in PD
166	166	0	Foster et al., (1986) - Cerebral mapping of apraxia in AD by PET
196	188	8	Ewers et al., (2014) - Reduced FDG-PET brain metabolism and EF predict clinical progression in elderly healthy subjects
194	187	7	Foki et al., (2015) - Finger dexterity deficits in PD
159	152	7	Forster et al., (2010) - FDG-PET mapping the brain subtrates of visuoconstructive processing in AD
400	383	17	Fama et al., (2000) - Structural brain correlates of verbal and nonverbal fluency measures in AD
160	157	3	Forster et al., (2011) - Effects of a 6 month cognitive intervention program on brain metabolism in aMCI and mild AD
213	200	13	Gardini et al., (2015) - Increased functional connectivity in the DMN in MCI
17	17	0	Formisano et al., (2009) - Blink reflex changes in PD following severe traumatic brain injury correlates with diffuse axonal injury
118	116	2	Fuente-Fernandex et al., (2001) - Biochemical variations in the synaptic level of dopamine precede motor fluctuations in PD
