PMID	Journal Title	#sentences	#not highlighted	#highlights	Paper Title
22019776	Neuropsychologia	441	430	11	./anns_v2/Ahn et al., (2011) - The cortical neuroanatomy of neuropsychological deficits in MCI and AD_annotated_ann.json
27670207	Can J Neurol Sci	161	149	12	./anns_v2/Altug et al., (2014) - Brain stimulation of subthalamic nucleus surgery on gait and balance in PD_annotated_ann.json
22940716	Eur Arch Psychiatry Clin Neurosci	170	156	14	./anns_v2/Arlt et al., (2013) - Association between MRI volumetry of brain regions and test performance in MCI and AD_annotated_ann.json
22180646	J Neurol Neurosurg Psychiatry	142	120	22	./anns_v2/Altug et al., (2011) - The influence of subthalamic nucleus DBS on daily living activities in PD_annotated_ann.json
21359972	J Neural Transm (Vienna)	94	88	6	./anns_v2/Allert et al., (2011) - Role of dysphagia in evaluating PD for STN-DBS._annotated_ann.json
27264343	Parkinsonism Relat Disord	137	128	9	./anns_v2/Arnaldi et al., (2016) - Functional neuroimaging and clinical features of drug naive patients with de novo PD and RBD_annotated_ann.json
20031272	Neurobiol Aging	184	172	12	./anns_v2/Avila et al., (2011) - Effect of temporal lobe structure volume on memory in eldery depressed patients_annotated_ann.json
25572161	J Neurol	126	107	19	./anns_v2/Benninger et al., (2008) - Morphological differences in PD with and without rest tremor_annotated_ann.json
None	None	182	166	16	./anns_v2/Beyer et al., (2006) - MRI study of PD with MCI and dementia using VBM_annotated_ann.json
20040773	J Ultrasound Med	114	101	13	./anns_v2/Bartova et al., (2010) - Correlation between substantia nigra features detected by sonography and PD_annotated_ann.json
26402108	J Alzheimers Dis	145	139	6	./anns_v2/Bilello et al., (2015) - Correlating cognitive decline with white matter lesions and atrophy in AD_annotated_ann.json
19632335	Neuroimage	220	209	11	./anns_v2/Birn et al., (2010) - Neural systems supporting lexical search guided by letter and semantic category cues. A self-paced overt response fMRI study of verbal fluency._annotated_ann.json
None	None	157	151	6	./anns_v2/Biundo et al., (2015) - Patterns of cortical thickness associated with ICD in PD_annotated_ann.json
25253863	J Neurosci	355	325	30	./anns_v2/Brandi et al., (2014) - The neural correlates of planning and executing actual tool use_annotated_ann.json
25240405	Parkinsonism Relat Disord	170	158	12	./anns_v2/Cerasa et al., (2014) - Cortical volume and folding abnormalities in PD with pathological gambling_annotated_ann.json
7964695	J Neural Transm Suppl	186	161	25	./anns_v2/Bologna et al., (2016) - Neural correlates of blinking abnormalities in patients with progressive supranuclear palsy_annotated_ann.json
24150105	J Alzheimers Dis	195	182	13	./anns_v2/Brugnolo et al., (2014) - Metabolic correlates of rey auditory verbal learning test in elderly subjects with memory complaints_annotated_ann.json
24817690	Mov Disord	176	167	9	./anns_v2/Carriere et al., (2014) - Apathy in PD associated with nucleus accumbens atrophy._annotated_ann.json
26717857	Parkinsonism Relat Disord	118	110	8	./anns_v2/Chung et al., (2016) - Apathy and striatal dopamine deficits in non-demented PD patients._annotated_ann.json
25165448	Front Aging Neurosci	232	217	15	./anns_v2/Chechko et al., (2014) - Neural correlates of unsuccessful memory performance in MCI_annotated_ann.json
27314757	J Parkinsons Dis	177	156	21	./anns_v2/Capelle et al., (2011) - DBS for camptocormia in dystonia and PD_annotated_ann.json
27452719	Neuropharmacology	169	153	16	./anns_v2/Cerasa et al., (2015) - The motor inbibition system in PD and dyskinesia_annotated_ann.json
21151376	Front Aging Neurosci	162	149	13	./anns_v2/Cotelli et al., (2010) - Action and object naming in physiological aging. An rTMS study_annotated_ann.json
19765737	J Neurol Sci	81	66	15	./anns_v2/Cicolin et al., (2004) - Effects of deep brain stimulation of STN on sleep archietecture in PD_annotated_ann.json
18418593	Eur J Nucl Med Mol Imaging	184	176	8	./anns_v2/Del Sole et al., (2008) - Individual cerebral metabolic deficits in AD and aMCI. An FDG PET study._annotated_ann.json
17785667	Neurology	252	228	24	./anns_v2/delpolyi et al., (2007) - Spatail cognition and the human navigation network in AD and MCI_annotated_ann.json
14614813	J Cogn Neurosci	242	224	18	./anns_v2/Coull et al., (1996) - A fronto-parietal network for RVIP_annotated_ann.json
24384308	Neuropsychologia	393	393	0	./anns_v2/Clark et al., (2014) - Lexical factors and cerebral regions influcing verbal fluency performance in MCI_annotated_ann.json
24286024	Neuroimage Clin	196	187	9	./anns_v2/Ewers et al., (2014) - Reduced FDG-PET brain metabolism and EF predict clinical progression in elderly healthy subjects_annotated_ann.json
24933580	Ann Neurol	228	216	12	./anns_v2/Dhanjal et al., (2014) - Frontoparietal cognitive control of verbal memory recall in AD_annotated_ann.json
27350397	J Neurosci Res	259	248	11	./anns_v2/Edison et al., (2007) - Amyloid, hypometabolism and cognition in AD_annotated_ann.json
11595262	Neuropsychologia	580	580	0	./anns_v2/Devlin et al., (2002) - Is there an anatomical basis for category-specificity. Semantic memory studies in PET and fMRI_annotated_ann.json
25596880	Parkinsonism Relat Disord	194	186	8	./anns_v2/Foki et al., (2015) - Finger dexterity deficits in PD_annotated_ann.json
21116054	J Alzheimers Dis	161	154	7	./anns_v2/Dos Santos et al., (2011) - Morphological cerebral correlates of CERAD test performance in AD and MCI_annotated_ann.json
None	None	201	196	5	./anns_v2/Florin et al., (2013) - Modulation of local field potential power of the subthalamic nucleus during isometric force generation in PD_annotated_ann.json
25361545	J Parkinsons Dis	121	107	14	./anns_v2/Erola et al., (2005) - Bilateral subthalamic nucleus stimulation improves health related quality of life in PD_annotated_ann.json
19247239	Med Sci Monit	17	15	2	./anns_v2/Formisano et al., (2009) - Blink reflex changes in PD following severe traumatic brain injury correlates with diffuse axonal injury_annotated_ann.json
10674796	Neuropsychology	400	383	17	./anns_v2/Fama et al., (2000) - Structural brain correlates of verbal and nonverbal fluency measures in AD_annotated_ann.json
21498904	J Alzheimers Dis	160	156	4	./anns_v2/Forster et al., (2011) - Effects of a 6 month cognitive intervention program on brain metabolism in aMCI and mild AD_annotated_ann.json
19875130	J Psychiatr Res	159	151	8	./anns_v2/Forster et al., (2010) - FDG-PET mapping the brain subtrates of visuoconstructive processing in AD_annotated_ann.json
8234569	Psychol Med	153	144	9	./anns_v2/Forstl et al., (1993) - Neuropathological basis for drawing disability (constructional apraxia) in Alzheimer's disease_annotated_ann.json
None	None	166	166	0	./anns_v2/Foster et al., (1986) - Cerebral mapping of apraxia in AD by PET_annotated_ann.json
27474916	Cortex	366	357	9	./anns_v2/Foxe et al., (2016) - The neural correlates of auditory and visuospatial span in logopenic progressive aphasia and AD_annotated_ann.json
None	None	180	152	28	./anns_v2/Garrido et al., (2002) - Relation between medial temporal atophy and functional braina activity during memory procressing in AD_annotated_ann.json
None	None	118	115	3	./anns_v2/Fuente-Fernandex et al., (2001) - Biochemical variations in the synaptic level of dopamine precede motor fluctuations in PD_annotated_ann.json
